,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
HOME,February,242,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Monday,713,-59.78,✅,lose,-1.00,UN
AWAY,February,242.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Monday,714,-60.78,❌,lose,-1.00,UN
HOME,February,209.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Monday,715,-59.87,✅,lose,-1.00,UN
AWAY,February,228.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.65,Monday,716,-60.87,❌,win,1.65,OV
HOME,February,228,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.55,Tuesday,717,-61.87,❌,lose,-1.00,OV
AWAY,February,213,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.00,Tuesday,718,-62.87,❌,win,3,UN
HOME,February,238,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Tuesday,719,-63.87,❌,win,0.95,UN
AWAY,February,228,NBA,,1.00,SPREAD,1.91,win,0.91,2.85,Tuesday,720,-62.96,✅,lose,-1.00,OV
AWAY,February,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Tuesday,721,-63.96,❌,win,1.35,OV
HOME,February,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.75,Tuesday,722,-64.96,❌,win,2.75,UN
AWAY,February,232.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.70,Tuesday,723,-65.96,❌,win,1.7,UN
AWAY,February,243,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.50,Wednesday,724,-66.96,❌,lose,-1.00,OV
AWAY,February,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.00,Wednesday,725,-67.96,❌,lose,-1.00,UN
AWAY,February,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Wednesday,726,-68.96,❌,lose,-1.00,UN
HOME,February,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Wednesday,727,-69.96,❌,win,1.75,OV
HOME,February,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Wednesday,728,-70.96,❌,win,1.15,UN
AWAY,February,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Wednesday,729,-70.05,✅,lose,-1.00,OV
HOME,February,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.50,Wednesday,730,-69.14,✅,lose,-1.00,OV
HOME,February,239.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.00,Wednesday,731,-68.23,✅,lose,-1.00,OV
AWAY,February,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Wednesday,732,-69.23,❌,win,2,OV
HOME,February,230,NBA,,1.00,SPREAD,1.91,win,0.91,6.00,Wednesday,733,-68.32,✅,lose,-1.00,OV
HOME,February,218,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.45,Wednesday,734,-69.32,❌,win,1.45,OV
HOME,February,233,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,6.50,Thursday,735,-70.32,❌,win,5.5,OV
HOME,February,213,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Thursday,736,-69.41,✅,lose,-1.00,OV
HOME,February,218,NBA,,1.00,SPREAD,1.91,win,0.91,2.95,Thursday,737,-68.50,✅,lose,-1.00,UN
HOME,February,225,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Thursday,738,-67.59,✅,lose,-1.00,OV
AWAY,February,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Thursday,739,-68.59,❌,win,0.95,UN
AWAY,February,231,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.80,Thursday,740,-69.59,❌,win,1.8,PUSH
AWAY,February,232,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,4.50,Friday,741,-70.59,❌,win,3.5,OV
AWAY,February,239.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,10.00,Friday,742,-71.59,❌,lose,-1.00,OV
AWAY,February,238,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Friday,743,-72.59,❌,win,1.2,UN
AWAY,February,209.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.70,Friday,744,-73.59,❌,win,1.7,UN
AWAY,February,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Friday,745,-74.59,❌,win,1.8,OV
HOME,February,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,10.50,Friday,746,-75.59,❌,lose,-1.00,OV
HOME,February,230.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.25,Friday,747,-74.68,✅,lose,-1.00,OV
HOME,February,228,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.25,Saturday,748,-73.77,✅,lose,-1.00,UN
AWAY,February,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Saturday,749,-74.77,❌,win,1.55,OV
HOME,February,217,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Saturday,750,-75.77,❌,lose,-1.00,OV
AWAY,February,238,NBA,,1.00,SPREAD,1.91,win,0.91,3.25,Saturday,751,-74.86,✅,lose,-1.00,UN
AWAY,February,239.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.00,Saturday,752,-73.95,✅,lose,-1.00,OV
AWAY,February,244,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Saturday,753,-73.04,✅,lose,-1.00,UN
HOME,February,212.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.40,Saturday,754,-72.13,✅,lose,-1.00,UN
AWAY,February,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Saturday,755,-71.22,✅,lose,-1.00,OV
HOME,February,235.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Saturday,756,-70.31,✅,lose,-1.00,UN
HOME,February,239,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.60,Saturday,757,-71.31,❌,lose,-1.00,OV
HOME,February,225.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,10.00,Saturday,758,-70.40,✅,lose,-1.00,OV
HOME,February,221,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,5.75,Sunday,759,-71.40,❌,lose,-1.00,UN
HOME,February,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.20,Sunday,760,-72.40,❌,lose,-1.00,UN
AWAY,February,229.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.30,Sunday,761,-73.40,❌,win,1.3,OV
HOME,February,231.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,4.25,Monday,762,-72.49,✅,lose,-1.00,OV
HOME,February,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Monday,763,-73.49,❌,win,1.8,UN
AWAY,February,238,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.25,Monday,764,-74.49,❌,lose,-1.00,OV
HOME,February,212,NBA,,1.00,SPREAD,1.91,win,0.91,2.75,Monday,765,-73.58,✅,lose,-1.00,UN
AWAY,February,210.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.55,Monday,766,-72.67,✅,lose,-1.00,UN
HOME,February,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Monday,767,-71.76,✅,lose,-1.00,OV
HOME,February,235,NBA,,1.00,SPREAD,1.91,win,0.91,10.00,Monday,768,-70.85,✅,lose,-1.00,OV
AWAY,February,238.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Monday,769,-71.85,❌,lose,-1.00,OV
HOME,February,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.20,Monday,770,-70.94,✅,lose,-1.00,OV
HOME,February,235.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,6.25,Monday,771,-70.03,✅,lose,-1.00,OV
HOME,February,225,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,4.25,Tuesday,772,-71.03,❌,win,3.25,UN
AWAY,February,242,NBA,,1.00,SPREAD,1.91,win,0.91,2.10,Tuesday,773,-70.12,✅,lose,-1.00,OV
AWAY,February,238,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Tuesday,774,-69.21,✅,lose,-1.00,UN
HOME,February,246.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.55,Tuesday,775,-68.30,✅,lose,-1.00,UN
HOME,February,232.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.60,Wednesday,776,-67.39,✅,lose,-1.00,UN
HOME,February,203,NBA,,1.00,SPREAD,1.91,win,0.91,6.00,Wednesday,777,-66.48,✅,lose,-1.00,UN
AWAY,February,242,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Wednesday,778,-67.48,❌,lose,-1.00,OV
HOME,February,209.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Wednesday,779,-66.57,✅,lose,-1.00,UN
HOME,February,243,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.50,Wednesday,780,-67.57,❌,lose,-1.00,OV
AWAY,February,237.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.75,Wednesday,781,-66.66,✅,lose,-1.00,OV
AWAY,February,237.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.00,Wednesday,782,-65.75,✅,lose,-1.00,OV
HOME,February,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.25,Wednesday,783,-66.75,❌,win,3.25,UN
AWAY,February,239.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Wednesday,784,-65.84,✅,lose,-1.00,UN
HOME,February,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Wednesday,785,-66.84,❌,lose,-1.00,OV
HOME,February,232,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Wednesday,786,-65.93,✅,lose,-1.00,OV
AWAY,February,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.10,Wednesday,787,-66.93,❌,win,3.1,OV
AWAY,February,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.60,Wednesday,788,-67.93,❌,win,2.6,UN
HOME,February,235,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.95,Wednesday,789,-67.02,✅,lose,-1.00,OV
HOME,February,225,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,1.95,Thursday,790,-68.02,❌,win,0.95,UN
AWAY,February,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.80,Thursday,791,-69.02,❌,win,2.8,OV
AWAY,February,218,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Thursday,792,-70.02,❌,win,1.3,OV
AWAY,February,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Thursday,793,-71.02,❌,win,3.5,UN
AWAY,February,229.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.25,Thursday,794,-72.02,❌,lose,-1.00,OV
HOME,February,230.5,NBA,ONE GAME,1.00,SPREAD,1.91,lose,-1.00,6.50,Wednesday,795,-73.02,❌,win,5.5,UN
AWAY,February,250,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.05,Thursday,796,-74.02,❌,win,1.05,UN
AWAY,February,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.40,Thursday,797,-73.11,✅,lose,-1.00,OV
AWAY,February,223,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Thursday,798,-72.20,✅,lose,-1.00,UN
AWAY,February,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.25,Thursday,799,-71.29,✅,lose,-1.00,UN
HOME,February,245,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.90,Thursday,800,-72.29,❌,lose,-1.00,UN
HOME,February,227,NBA,,1.00,SPREAD,1.91,lose,-1.00,10.50,Thursday,801,-73.29,❌,lose,-1.00,OV
AWAY,February,238,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Thursday,802,-74.29,❌,win,1.25,UN
AWAY,February,225,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.25,Thursday,803,-73.38,✅,lose,-1.00,UN
HOME,February,241.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.55,Friday,804,-72.47,✅,lose,-1.00,OV
AWAY,February,226,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Friday,805,-73.47,❌,lose,-1.00,UN
AWAY,February,231,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Friday,806,-74.47,❌,lose,-1.00,UN
HOME,February,219.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Friday,807,-73.56,✅,lose,-1.00,OV
HOME,February,235,NBA,,1.00,SPREAD,1.91,win,0.91,2.85,Friday,808,-72.65,✅,lose,-1.00,UN
AWAY,February,235,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Friday,809,-71.74,✅,lose,-1.00,PUSH
HOME,February,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Friday,810,-70.83,✅,lose,-1.00,OV
AWAY,February,233,NBA,,1.00,SPREAD,1.91,win,0.91,8.50,Friday,811,-69.92,✅,lose,-1.00,OV
AWAY,February,236,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.10,Friday,812,-69.01,✅,lose,-1.00,OV
AWAY,February,239.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.70,Saturday,813,-70.01,❌,lose,-1.00,UN
HOME,February,212.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.00,Saturday,814,-71.01,❌,win,4,UN
HOME,February,244,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Saturday,815,-72.01,❌,win,2.1,UN
AWAY,February,227,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.75,Saturday,816,-73.01,❌,win,2.75,OV
HOME,February,227,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.70,Saturday,817,-72.10,✅,lose,-1.00,OV
HOME,February,232,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.70,Sunday,818,-71.19,✅,lose,-1.00,UN
HOME,February,229,NBA,,1.00,SPREAD,1.91,win,0.91,4.10,Sunday,819,-70.28,✅,lose,-1.00,UN
HOME,February,227,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Sunday,820,-69.37,✅,lose,-1.00,OV
AWAY,February,238.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Sunday,821,-68.46,✅,lose,-1.00,OV
HOME,February,222,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Sunday,822,-67.55,✅,lose,-1.00,OV
HOME,February,215,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.25,Sunday,823,-68.55,❌,lose,-1.00,UN
AWAY,February,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Sunday,824,-69.55,❌,win,1.25,OV
HOME,February,242,NBA,,1.00,SPREAD,1.91,win,0.91,2.10,Sunday,825,-68.64,✅,lose,-1.00,UN
AWAY,February,227.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.00,Sunday,826,-69.64,❌,lose,-1.00,OV
HOME,February,220.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.20,Monday,827,-68.73,✅,lose,-1.00,UN
AWAY,February,246,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Monday,828,-67.82,✅,lose,-1.00,UN
HOME,February,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Monday,829,-68.82,❌,win,1.75,OV
AWAY,February,218,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Monday,830,-69.82,❌,win,1.25,UN
HOME,February,232,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Monday,831,-68.91,✅,lose,-1.00,UN
HOME,February,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.50,Monday,832,-69.91,❌,win,4.5,OV
AWAY,February,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.35,Monday,833,-70.91,❌,lose,-1.00,UN
HOME,February,233,NBA,LG,1.00,SPREAD,1.91,win,0.91,5.00,Monday,834,-70.00,✅,lose,-1.00,UN
AWAY,February,226,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,5.00,Tuesday,835,-71.00,❌,lose,-1.00,UN
AWAY,February,219,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Tuesday,836,-70.09,✅,lose,-1.00,UN
HOME,February,227,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Tuesday,837,-69.18,✅,lose,-1.00,UN
HOME,February,245.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Tuesday,838,-70.18,❌,lose,-1.00,OV
HOME,February,239.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Tuesday,839,-69.27,✅,lose,-1.00,UN
HOME,February,217.5,NBA,,1.00,SPREAD,1.91,win,0.91,10.00,Tuesday,840,-68.36,✅,lose,-1.00,OV
HOME,February,231,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.10,Tuesday,841,-69.36,❌,lose,-1.00,UN
AWAY,February,225.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.55,Wednesday,842,-70.36,❌,win,1.55,UN
HOME,February,232.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.75,Wednesday,843,-69.45,✅,lose,-1.00,UN
HOME,February,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Wednesday,844,-70.45,❌,lose,-1.00,UN
AWAY,February,232.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.95,Wednesday,845,-69.54,✅,lose,-1.00,OV
AWAY,February,217,NBA,,1.00,SPREAD,1.91,lose,-1.00,9.50,Wednesday,846,-70.54,❌,lose,-1.00,OV
HOME,February,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.30,Wednesday,847,-69.63,✅,lose,-1.00,OV
AWAY,February,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.10,Wednesday,848,-70.63,❌,lose,-1.00,OV
AWAY,February,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.00,Wednesday,849,-69.72,✅,lose,-1.00,UN
HOME,February,227.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.70,Wednesday,850,-68.81,✅,lose,-1.00,UN
AWAY,February,212.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.60,Thursday,851,-67.90,✅,lose,-1.00,OV
AWAY,February,241,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Thursday,852,-68.90,❌,win,1.35,UN
HOME,February,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.00,Thursday,853,-69.90,❌,lose,-1.00,UN
HOME,February,237,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Thursday,854,-70.90,❌,win,2,OV
HOME,February,228.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.00,Thursday,855,-69.99,✅,lose,-1.00,UN
HOME,February,240,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,1.95,Friday,856,-70.99,❌,win,0.95,OV
AWAY,February,246.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.90,Friday,857,-70.08,✅,lose,-1.00,OV
HOME,February,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Friday,858,-71.08,❌,win,0.95,OV
AWAY,February,220.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Friday,859,-70.17,✅,lose,-1.00,OV
HOME,February,233.5,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Friday,860,-69.26,✅,lose,-1.00,OV
HOME,February,246,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Friday,861,-70.26,❌,win,1.25,UN
AWAY,February,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Friday,862,-71.26,❌,win,1.25,OV
HOME,February,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Friday,863,-70.35,✅,lose,-1.00,OV
AWAY,February,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Friday,864,-71.35,❌,win,1.55,OV
HOME,March,223.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.50,Saturday,865,-72.35,❌,win,1.5,UN
HOME,March,215.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.50,Saturday,866,-71.44,✅,lose,-1.00,UN
HOME,March,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Saturday,867,-72.44,❌,win,1.55,UN
HOME,March,239.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.90,Saturday,868,-73.44,❌,win,1.9,OV
AWAY,March,229,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Saturday,869,-72.53,✅,lose,-1.00,OV
AWAY,March,228,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.10,Saturday,870,-73.53,❌,win,2.1,OV
HOME,March,234,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.70,Sunday,871,-72.62,✅,lose,-1.00,UN
HOME,March,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.00,Sunday,872,-73.62,❌,lose,-1.00,OV
HOME,March,240.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.00,Sunday,873,-72.71,✅,lose,-1.00,UN
AWAY,March,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Sunday,874,-73.71,❌,lose,-1.00,OV
HOME,March,209,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Sunday,875,-74.71,❌,win,2.2,UN
AWAY,March,238,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.50,Sunday,876,-75.71,❌,lose,-1.00,OV
AWAY,March,232,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.50,Sunday,877,-76.71,❌,lose,-1.00,OV
AWAY,March,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Sunday,878,-77.71,❌,win,1.1,UN
AWAY,March,234,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.00,Sunday,879,-76.80,✅,lose,-1.00,UN
AWAY,March,229,NBA,FG,1.00,SPREAD,1.91,win,0.91,6.25,Monday,880,-75.89,✅,lose,-1.00,UN
AWAY,March,229,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Monday,881,-74.98,✅,lose,-1.00,UN
HOME,March,217,NBA,,1.00,SPREAD,1.91,win,0.91,3.75,Monday,882,-74.07,✅,lose,-1.00,UN
HOME,March,250,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.35,Monday,883,-75.07,❌,win,2.35,OV
HOME,March,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.25,Monday,884,-76.07,❌,lose,-1.00,OV
AWAY,March,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.10,Monday,885,-75.16,✅,lose,-1.00,UN
AWAY,March,232,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.75,Monday,886,-74.25,✅,lose,-1.00,OV
HOME,March,231,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.45,Tuesday,887,-73.34,✅,lose,-1.00,UN
HOME,March,207.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.30,Tuesday,888,-74.34,❌,win,2.3,OV
AWAY,March,244,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Tuesday,889,-73.43,✅,lose,-1.00,OV
HOME,March,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Tuesday,890,-74.43,❌,win,0.95,UN
AWAY,March,241.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.75,Tuesday,891,-73.52,✅,lose,-1.00,OV
HOME,March,221.5,NBA,,1.00,SPREAD,1.91,win,0.91,7.25,Tuesday,892,-72.61,✅,lose,-1.00,OV
HOME,March,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.40,Tuesday,893,-71.70,✅,lose,-1.00,OV
HOME,March,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Tuesday,894,-72.70,❌,win,1.25,OV
AWAY,March,228.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.60,Tuesday,895,-71.79,✅,lose,-1.00,OV
HOME,March,224,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.60,Wednesday,896,-70.88,✅,lose,-1.00,OV
AWAY,March,227,NBA,,1.00,SPREAD,1.91,win,0.91,3.65,Wednesday,897,-69.97,✅,lose,-1.00,OV
HOME,March,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.75,Wednesday,898,-70.97,❌,lose,-1.00,UN
HOME,March,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Wednesday,899,-70.06,✅,lose,-1.00,OV
HOME,March,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.00,Wednesday,900,-69.15,✅,lose,-1.00,OV
HOME,March,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.90,Wednesday,901,-70.15,❌,lose,-1.00,UN
AWAY,March,253.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.30,Wednesday,902,-69.24,✅,lose,-1.00,UN
AWAY,March,219.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.40,Wednesday,903,-70.24,❌,win,1.4,OV
HOME,March,221,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.65,Thursday,904,-71.24,❌,win,2.65,OV
HOME,March,244,NBA,,1.00,SPREAD,1.91,win,0.91,2.10,Thursday,905,-70.33,✅,lose,-1.00,UN
HOME,March,218.5,NBA,,1.00,SPREAD,1.91,win,0.91,7.50,Thursday,906,-69.42,✅,lose,-1.00,OV
AWAY,March,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.00,Thursday,907,-70.42,❌,lose,-1.00,OV
AWAY,March,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.40,Thursday,908,-69.51,✅,lose,-1.00,UN
HOME,March,231.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.30,Thursday,909,-68.60,✅,lose,-1.00,UN
AWAY,March,236.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,9.00,Friday,910,-69.60,❌,lose,-1.00,UN
AWAY,March,239,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Friday,911,-68.69,✅,lose,-1.00,UN
HOME,March,228,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Friday,912,-67.78,✅,lose,-1.00,UN
AWAY,March,218,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Friday,913,-68.78,❌,lose,-1.00,UN
HOME,March,228,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Friday,914,-67.87,✅,lose,-1.00,UN
HOME,March,243,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.10,Friday,915,-68.87,❌,lose,-1.00,OV
HOME,March,233.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Friday,916,-67.96,✅,lose,-1.00,OV
HOME,March,218,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.10,Friday,917,-67.05,✅,lose,-1.00,UN
AWAY,March,211.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.65,Saturday,918,-68.05,❌,win,1.65,UN
HOME,March,228,NBA,,1.00,SPREAD,1.91,win,0.91,3.45,Saturday,919,-67.14,✅,lose,-1.00,OV
HOME,March,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Saturday,920,-68.14,❌,win,1.55,OV
HOME,March,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.65,Saturday,921,-69.14,❌,win,1.65,UN
HOME,March,216.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Saturday,922,-70.14,❌,win,2.2,OV
HOME,March,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Saturday,923,-69.23,✅,lose,-1.00,UN
HOME,March,243.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.50,Sunday,924,-68.32,✅,lose,-1.00,UN
AWAY,March,229,NBA,,1.00,SPREAD,1.91,win,0.91,3.20,Sunday,925,-67.41,✅,lose,-1.00,OV
